Company Code;G/L Account;G/L Account Name;Assignment Reference;Journal Entry;Journal Entry Type;JE Type Name;Posting Date;Amount in Company Code Currency;Clearing Journal Entry;Clearing Date;Profit Center;Profit Center Name;Partner Profit Center;Customer;Name of Customer;Journal Entry Item Text;Journal Entry Date;Jrnl Entry Creation Date in Server Time;Journal Entry Created By;Offsetting Account;Offsetting Acct Name;Fiscal Period;Name of Supplier;Supplier;Creation Time;Trading Partner;Functional Area;Functional Area Name;Cost Center;Cost Center Name;WBS Element;Purchasing Document;Order ID;Work Item ID;Reference Key 3
1711 (Delek Logistics Partners);63001000 (Electricity and other Utilities);Electricity&Utilitie;Utility Accrual;1020005021;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/02/2026;- 561.434,27   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Opex Accrual-Reliant;02/02/2026;04/02/2026;FIBATCH;21102300 (A/POther);A/POther;002;;;04/02/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);63001000 (Electricity and other Utilities);Electricity&Utilitie;Utility Accrual;1020004822;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/01/2026;- 530.964,38   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;December 2025 Opex Accrual-Reliant;05/01/2026;05/01/2026;FIBATCH;21102300 (A/POther);A/POther;001;;;05/01/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);63001000 (Electricity and other Utilities);Electricity&Utilitie;Utility Accrual;1020005188;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 454.735,26   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Opex Accrual-Reliant;04/03/2026;04/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;04/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;;2300379967;CO (Secondary Cost);Secondary Cost;31/03/2026;- 204.796,69   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);20022001 (EDR -Refinery (Lion));;;CTR A000/2002000086;27/03/2026;27/03/2026;LGREENE;65301300 (CS - Outside Service);CS - Outside Service;003;;;27/03/2026 09:11;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;;;;;
1710 (Delek US Holdings, Inc.);61065000 (Incentive Plan Expense);Incentive Plan Expen;2025 AIP ACCRUAL;1010029392;AB (Journal Entry);Journal Entry;31/03/2026;- 152.996,69   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);10020001 (DELEK US ENERGY, INC);;;2025 AIP PAYMENT RECLASS;31/03/2026;24/03/2026;AKNECHT;61065000 (Incentive Plan Expen);Incentive Plan Expen;003;;;24/03/2026 17:10;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;;;;;
1711 (Delek Logistics Partners);67000500 (Other Expenses);Other Expenses;Pit Inventory Adj;1010009446;AB (Journal Entry);Journal Entry;31/01/2026;- 124.857,08   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Gravity FW Pit Inventory adjustment;10/02/2026;10/02/2026;JOHARRIS;13200800 (Inventory - Manual);Inventory - Manual;001;;;10/02/2026 11:31;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);67000500 (Other Expenses);Other Expenses;Pit Inventory Adj;1010009587;AB (Journal Entry);Journal Entry;28/02/2026;- 106.889,21   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Gravity FW Pit Inventory adjustment;02/03/2026;02/03/2026;WMARSHALL;13200800 (Inventory - Manual);Inventory - Manual;002;;;02/03/2026 14:18;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);65301700 (Contract Services -Mechanical Integrity Inspection);CS - Mechanical;Account xSuspense;1020102913;AC (Accrual Document);Accrual Document;31/03/2026;- 103.076,81   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;Suspense account - Cleared in Apr 26;31/03/2026;09/04/2026;DROJO;11006324 (ACH Out - BOA9564);ACH Out - BOA9564;003;;;09/04/2026 10:44;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;;;;;
1711 (Delek Logistics Partners);65301300 (Contract Services - Outside Services);CS - Outside Service;;1020005441;AC (Accrual Document);Accrual Document;31/03/2026;- 78.540,54   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Site Pro;10/04/2026;10/04/2026;DROJO;65200000 (Other Supplies);Other Supplies;003;;;10/04/2026 11:57;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;20260201;1020096658;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 69.218,40   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;TOTAL SAFETY US INC (108007-TOTAL SAFETY US INC);04/03/2026;05/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;05/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;EDSEP2024002;;;;
1711 (Delek Logistics Partners);65301400 (Contract Services - Contractors);CS - Contractors;P4/JIB Accrual;1020004819;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/01/2026;- 66.907,57   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;P4/JIB - Dec Accrual - Iden;02/01/2026;05/01/2026;FIBATCH;42001100 (Oth Water System Rev);Oth Water System Rev;001;;;05/01/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1711 (Delek Logistics Partners);65301300 (Contract Services - Outside Services);CS - Outside Service;Consulting Apr-Jun;1020005251;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 65.254,50   USD;;;40101034 (DKL - DWM Permian);DKL - DWM Permian;;;;Gravity Milestone Accrual;09/03/2026;09/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;09/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;4010100087 (DWM - Operating);DWM - Operating;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;Jan John Crane;1020092525;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/02/2026;- 56.250,00   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;JOHN CRANE INC (100693-JOHN CRANE INC);05/02/2026;05/02/2026;FIBATCH;21102300 (A/POther);A/POther;002;;;05/02/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;Feb John Crane;1020096735;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 56.250,00   USD;;;20022001 (EDR -Refinery (Lion));EDR -Refinery (Lion);;;;JOHN CRANE INC (100693-JOHN CRANE INC);05/03/2026;06/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;06/03/2026 21:33;;YB20 (OPEX IN COS);OPEX IN COS;2002000086 (MAINT -RELIABILITY);MAINT -RELIABILITY;;;;;
