Company Code;G/L Account;G/L Account Name;Assignment Reference;Journal Entry;Journal Entry Type;JE Type Name;Posting Date;Amount in Company Code Currency;Clearing Journal Entry;Clearing Date;Profit Center;Profit Center Name;Partner Profit Center;Customer;Name of Customer;Journal Entry Item Text;Journal Entry Date;Jrnl Entry Creation Date in Server Time;Journal Entry Created By;Offsetting Account;Offsetting Acct Name;Fiscal Period;Name of Supplier;Supplier;Creation Time;Trading Partner;Functional Area;Functional Area Name;Cost Center;Cost Center Name;WBS Element;Purchasing Document;Order ID;Work Item ID;Reference Key 3
1710 (Delek US Holdings, Inc.);61065000 (Incentive Plan Expense);Incentive Plan Expen;2025 AIP ACCRUAL;1010029394;AB (Journal Entry);Journal Entry;31/03/2026;- 2.092.082,23   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10020001 (DELEK US ENERGY, INC);;;2025 AIP ACCRUAL REVERSAL;31/03/2026;24/03/2026;AKNECHT;21512000 (BONUS PAYABLE);BONUS PAYABLE;003;;;2026-03-24 17:10:22;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
1710 (Delek US Holdings, Inc.);66000700 (Management Fee);Management Fee;1002000011;1010028315;MR (Manual Recurring Doc);Manual Recurring Doc;31/01/2026;- 1.083.333,33   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;40201002 (SHARED SERVICES);;;Managment Fees 2026;26/01/2026;27/01/2026;DROJO;12302000 (A/R-Intercompany Man);A/R-Intercompany Man;001;;;2026-01-27 10:45:24;LC1711;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
1710 (Delek US Holdings, Inc.);61065000 (Incentive Plan Expense);Incentive Plan Expen;2025 AIP ACCRUAL;1010029394;AB (Journal Entry);Journal Entry;31/03/2026;- 781.053,07   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10020001 (DELEK US ENERGY, INC);;;2025 AIP ACCRUAL REVERSAL;31/03/2026;24/03/2026;AKNECHT;21512000 (BONUS PAYABLE);BONUS PAYABLE;003;;;2026-03-24 17:10:22;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1711 (Delek Logistics Partners);66000700 (Management Fee);Management Fee;4020100019;1010009346;MR (Manual Recurring Doc);Manual Recurring Doc;31/01/2026;- 750.000,33   USD;;;40201002 (SHARED SERVICES);SHARED SERVICES;10020001 (DELEK US ENERGY, INC);;;Managment Fees 2026;03/02/2026;02/02/2026;DROJO;21301000 (A/P - Intercompany M);A/P - Intercompany M;001;;;2026-02-02 17:20:03;LC1710;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";4020100019 (CORP ADMIN);CORP ADMIN;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028335;AB (Journal Entry);Journal Entry;31/01/2026;- 629.312,84   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 01.26.2026;27/01/2026;29/01/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;001;;;2026-01-29 08:50:54;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000700 (Management Fee);Management Fee;1002000011;1010028820;MR (Manual Recurring Doc);Manual Recurring Doc;28/02/2026;- 416.666,63   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;40201002 (SHARED SERVICES);;;Managment Fees 2026;23/02/2026;24/02/2026;DROJO;12302000 (A/R-Intercompany Man);A/R-Intercompany Man;002;;;2026-02-24 17:57:44;LC1711;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
1710 (Delek US Holdings, Inc.);66000700 (Management Fee);Management Fee;1002000011;1010029403;MR (Manual Recurring Doc);Manual Recurring Doc;31/03/2026;- 416.666,63   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;40201002 (SHARED SERVICES);;;Managment Fees 2026;25/03/2026;25/03/2026;DROJO;12302000 (A/R-Intercompany Man);A/R-Intercompany Man;003;;;2026-03-25 15:50:26;LC1711;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028842;AB (Journal Entry);Journal Entry;28/02/2026;- 405.882,90   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 02.11.2026;24/02/2026;24/02/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;002;;;2026-02-24 18:25:16;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028541;AB (Journal Entry);Journal Entry;31/01/2026;- 393.756,73   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 01.27.2026;02/02/2026;03/02/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;001;;;2026-02-03 07:58:19;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);61010000 (Payroll - Salaried Labor);PayrollSalariedLabor;1002000011;2620000221;YQ (EC-Payroll Acc Posti);EC-Payroll Acc Posti;01/01/2026;- 353.009,75   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;;;;;31/12/2025;31/12/2025;AROKADE;21501000 (Accrued Net Payroll);Accrued Net Payroll;001;;;2025-12-31 01:25:58;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010029425;AB (Journal Entry);Journal Entry;31/03/2026;- 331.185,26   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051003 (Crude Wholesale-US);;;CASS Reallocation 03.20.2026;26/03/2026;27/03/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;003;;;2026-03-27 15:54:34;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010029415;AB (Journal Entry);Journal Entry;31/03/2026;- 301.369,31   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 03.10.2026;25/03/2026;25/03/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;003;;;2026-03-25 16:28:15;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1711 (Delek Logistics Partners);61024100 (Labor COSt);Labor COSt;DKL CC RECLASS;1010009954;AB (Journal Entry);Journal Entry;31/03/2026;- 295.127,34   USD;;;40201002 (SHARED SERVICES);SHARED SERVICES;;;;DKL PERSONNEL HOURS;09/04/2026;10/04/2026;BDANIEL;61024100 (Labor COSt);Labor COSt;003;;;2026-04-10 08:02:10;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";4020100019 (CORP ADMIN);CORP ADMIN;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028845;AB (Journal Entry);Journal Entry;28/02/2026;- 294.518,74   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051003 (Crude Wholesale-US);;;CASS Reallocation 02.17.2026;24/02/2026;24/02/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;002;;;2026-02-24 18:25:40;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1711 (Delek Logistics Partners);61052000 (Group Insurance);Group Insurance;;2400000141;CC (Sec. Cost CrossComp.);Sec. Cost CrossComp.;28/02/2026;- 283.186,45   USD;;;40201002 (SHARED SERVICES);SHARED SERVICES;10180001 (DK Logistics Servc.);;;DKLOGISTICDK LOGISTICS SERVC;09/03/2026;09/03/2026;DROJO;INC1710 (Delek US Holdings, Inc.);Delek US Holdings, Inc.;002;;;2026-03-09 15:52:15;LC1710;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";4020100019 (CORP ADMIN);CORP ADMIN;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028337;AB (Journal Entry);Journal Entry;31/01/2026;- 258.674,83   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 01.07.2026;27/01/2026;29/01/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;001;;;2026-01-29 08:52:17;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010029440;AB (Journal Entry);Journal Entry;31/03/2026;- 256.844,94   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 03.24.2026;27/03/2026;27/03/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;003;;;2026-03-27 15:46:06;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1711 (Delek Logistics Partners);61024100 (Labor COSt);Labor COSt;DKL CC RECLASS;1010009420;AB (Journal Entry);Journal Entry;31/01/2026;- 248.481,12   USD;;;40201002 (SHARED SERVICES);SHARED SERVICES;;;;DKL PERSONNEL HOURS;09/02/2026;09/02/2026;BVERNICH;61024100 (Labor COSt);Labor COSt;001;;;2026-02-09 10:30:31;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";4020100019 (CORP ADMIN);CORP ADMIN;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010028330;AB (Journal Entry);Journal Entry;31/01/2026;- 246.650,00   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 01.22.2026;27/01/2026;29/01/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;001;;;2026-01-29 08:05:14;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010029440;AB (Journal Entry);Journal Entry;31/03/2026;- 229.262,00   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051003 (Crude Wholesale-US);;;CASS Reallocation 03.24.2026;27/03/2026;27/03/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;003;;;2026-03-27 15:46:06;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1710 (Delek US Holdings, Inc.);66000400 (Third Party Trucking Expense);Third Party Trucking;1002000004;1010029425;AB (Journal Entry);Journal Entry;31/03/2026;- 227.446,00   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;10051006 (Refined Prod-Trading);;;CASS Reallocation 03.20.2026;26/03/2026;27/03/2026;DROJO;50060000 (COS - Truck Transpor);COS - Truck Transpor;003;;;2026-03-27 15:54:34;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000004 (TRADING & SUPPLY);TRADING & SUPPLY;;;;;
1711 (Delek Logistics Partners);61024100 (Labor COSt);Labor COSt;DKL CC RECLASS;1010009656;AB (Journal Entry);Journal Entry;28/02/2026;- 226.435,45   USD;;;40201002 (SHARED SERVICES);SHARED SERVICES;;;;DKL PERSONNEL HOURS;09/03/2026;09/03/2026;BDANIEL;61024100 (Labor COSt);Labor COSt;002;;;2026-03-09 17:24:15;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";4020100019 (CORP ADMIN);CORP ADMIN;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;KPMG;1020092652;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/02/2026;- 217.000,00   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;;;;KPMG Progress bill for January 2026 tax managed se;06/02/2026;06/02/2026;FIBATCH;21102300 (A/POther);A/POther;002;;;2026-02-06 21:33:34;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;KPMG;1020088259;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/01/2026;- 210.500,00   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;;;;December 2025 Tax Managed Services;06/01/2026;07/01/2026;FIBATCH;21102300 (A/POther);A/POther;001;;;2026-01-07 21:33:27;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;KPMG;1020092652;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/02/2026;- 210.500,00   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;;;;December 2025 Tax Managed Services;06/02/2026;06/02/2026;FIBATCH;21102300 (A/POther);A/POther;002;;;2026-02-06 21:33:34;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
1710 (Delek US Holdings, Inc.);65301300 (Contract Services - Outside Services);CS - Outside Service;KPMG;1020096744;Z1 (Reverse- Accrual Doc);Reverse- Accrual Doc;01/03/2026;- 210.500,00   USD;;;10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;;;;December 2025 Tax Managed Services;05/03/2026;06/03/2026;FIBATCH;21102300 (A/POther);A/POther;003;;;2026-03-06 21:33:26;;"YB50 (G&A; D&A BELOW COS)";"G&A; D&A BELOW COS";1002000011 (ACCOUNTING);ACCOUNTING;;;;;
